Question,Response,GT
اذكر مثالا للامامين مالك والشافعى فى ورعهم حول كلام الرسول ؟,"من مظاهر ورع الإمام مالك والإمام الشافعي في نقل كلام الرسول صلى الله عليه وسلم ما يلي:

- الإمام مالك رضي الله عنه كان إذا سئل عن مسألة، فقالوا له: يا أبا عبد الله هل تعرف حديثاً في هذا؟ فيقول: ""لا أحل أن أحدثكم بحديث رسول الله صلى الله عليه وسلم وأنا آخذت من غير طريق الثقة به""

- أما الإمام الشافعي رضي الله عنه فقد قال: ""لو أن جميع أهل الأرض صدقوني فيما أخبرتهم به عن النبي صلى الله عليه وسلم لم أجز أن أحكي لهم حديثاً واحداً إلا وأنتمي فيه إلى رجل ثقة""

وهذا يدل على عظيم احترامهما وورعهما في نقل الأحاديث النبوية، فلا يرويان شيئاً عن النبي صلى الله عليه وسلم إلا من طريق صحيح موثوق.","وقال مالك رحمه الله: كلٌّ أحدٍ يؤخذ من قوله ويترك إلا رسول الله ﷺ. وقال أيضا: ما شئتَ أن تسألَ عليّ من أسألُ عن شرائعِ الحلال والحرام، ابن لهيعة؟ هذا والله لا يكون! الله، لقد أدركتُ أهلَ العلم والفقه ببلدنا، وإنهم إذا جاءهم الشيء عن رسول الله ﷺ نظروا في الوقت أشرف عليه؟ ومن أخذه؟ فإذا ثبت عنه هذا يحبّذون الكلام به والفتيا، ولو قُوِّلوا على ما يسرّون إليه غدا، لقالوا: نحن من هذا.وعن الربيع بن سليمان: سمعت الشافعي وقد سأله رجل في مسألة، فقال: يروى عن النبي ﷺ أنه قال كذا وكذا، فقال له الشافعي: أ تقول بهذا؟ قال: أقول به على الرس والخشَّاش! فقال له الشافعي: أتدري ما الرس والخشاش؟! أ تخرج فتقعد على الأرض، فتلقي نفسك فيه حتى يجيء من يخرجك! نعم على الرأس والعينين إذا رُوي عن رسول الله ﷺ، ولم يُقل: نعم على الرأس والعينين!!"
"هل طاعه الزوج واجبة ؟
","نعم، طاعة الزوج واجبة في الإسلام ولكن بشروط وأحكام معينة. الطاعة تكون **في المعروف** فقط، أي أن الزوجة مطالبة بطاعة زوجها فيما لا يخالف شرع الله عز وجل. أما إذا أمرها بمعصية أو شيئٍ يُخرجها عن طاعة الله ورسوله، فلا طاعة له في ذلك. ### الدليل: 1. **حديث النبى صلى الله عليه وسلم:** - كما جاء في السياق الذي ذكرتَه: ""باب لا تطع المرأة زوجها في معصية""، وهذا الحديث يوضح أن طاعة الزوج ليست مطلقة بل مقيدة بألا تكون في معصية لله. 2. **آيات من القرآن الكريم:** - قوله تعالى: **""واللاتي تخافون نشوزهن فعظوهن واهجروهن في المضاجع واضربوهن فإن أطعنكم فلا تبغوا عليهن سبيلاً"" [النساء: 34].** - هذه الآية تؤكد على أهمية الطاعة الزوجية لكنها مشروطة بأن يكون الأمر في حدود المعروف. 3. **الأحاديث العامة:** - عن أبي هريرة رضي الله عنه قال: قال رسول الله صلى الله عليه وسلم: **""ألا كلكم راع وكلكم مسؤول عن رعيته... والمرأة راعية على بيت زوجها ومسؤولة عنه.""** (متفق عليه) - هذا الحديث يجعل الزوجة مسؤولة عن إدارة بيت زوجها ضمن حدود الطاعة الشرعية. ### خلاصة الإجابة: - **الطاعة واجبة:** ولكن في حدود المعروف، وإذا كان الأمر يؤدي إلى معصية الله، فلا طاعة للمخلوق في معصية الخالق. - **إذا نشزت الزوجة:** يبدأ التعامل بالوعظ ثم الهجران في المضاجع ثم الضرب غير المبرح إن لزم الأمر، وذلك بهدف الإصلاح وليس العقاب الشديد. وبذلك يكون هناك توازن بين حقوق الزوجين ويكون الهدف الأسمى هو بناء أسرة قائمة على المحبة والرحمة والإحسان كما أمرنا الله سبحانه وتعالى.","الإسلام، وأن الطاعة المطلقة لا تكون لأحد بعد الله ورسوله، وأما طاعة من سواهما من حاكم أو عالم أو وليٍّ أو زوج أو والد أو مستخدم ونحو، فيشترط ألا تكون في معصية الله، فما من أحدٍ إلا ويؤخذ من قوله"
الدليل على الاستعانه بأراء السلف الصالح ؟,"نعم، الاستعانة بآراء الصحابة الصالح في الإسلام أمر مشروع ومهم، وذلك لأن الصحابة رضوان الله عليهم هم أول من تلقى النصوص الشرعية مباشرة من النبي صلى الله عليه وسلم، وفهموها ونقلوها للأجيال التالية. وقد أكدت الآيات والأحاديث على أهمية اتباع سبيل المؤمنين والجماعة التي كان عليها النبي صلى الله عليه وسلم وأصحابه. على سبيل المثال: - قوله تعالى: **""وَمَن يُشَاقِقِ الرَّسُولَ مِن بَعْدِ مَا تَبَيَّنَ لَهُ الْهُدَىٰ وَيَتَّبِعْ غَيْرَ سَبِيلِ الْمُؤْمِنِينَ فَلَن تَكُونَ لَهُ مِن نَّاصِرِينَ""** [النساء: 115]، يدل على وجوب اتباع سبيل المؤمنين الذين هم الصحابة أولاً. - كما أن النبي صلى الله عليه وسلم قال: **""عليكم بسنتي وسنة الخلفاء الراشدين المهديين من بعدي""**، وهذا يؤكد على أهمية اتباع سنة النبي وأصحابه. وبالتالي، آراء الصحابة واجتهاداتهم تعد مرجعاً مهماً في الفقه الإسلامي لما لهم من مكانة خاصة في فهم الدين وتطبيقه. ولا يجوز للمسلم أن يخالف سبيلهم أو يستغني عن فهمهم للنصوص الشرعية. **الخلاصة**: يجب على المسلم أن يستعين بآراء الصحابة الصالحين وأن يلتزم بما كانوا عليه من عقيدة وسلوك؛ لأن ذلك هو الضمان للابتعاد عن البدع والضلالات.","وقال ﷺ: ""عليكم بسنتي وسنة الخلفاء الراشدين المهديين من بعدي عضوا عليها بالنواجذ"""
تعريف ايمان المسلم بالولاء والبراء ؟,"إيمان المسلم بالولاء والبراء هو التصديق الجازم بأن الولاء يكون للمؤمنين فقط بناءً على الإسلام، والبراء يكون من الكافرين أياً كانت أماكنهم أو ظروفهم. فالمسلم يحب وينصر أهل الإيمان بحسب إيمانهم، ويترك موالاة أهل الكفر بحسب كفرهم. وإذا كان الشخص فيه إيمان وفجور معاً، فإنه يُعطى من الموالاة بحسب إيمانه ومن البراءة بحسب فجوره.

ويتجلى هذا الإيمان في اتباع قول الله تعالى: **""ومن يتول الله ورسوله والذين آمنوا فإن حزب الله هم الغالبون""** (المائدة: 56)، وتجنب موالاة من ضدهم في الدين، لأن موالاة الكافرين قد تؤدي إلى الفتنة والمصاعب للمؤمنين، وقد علل الشارع النهي عن موالاتهم بأنهم أولياء بعضهم البعض، ويجمعون شملهم لمعاداة المؤمنين.

وبالتالي، يكون إيمان المسلم بالولاء والبراء هو التزام قلبي وعملي بموالاة المؤمنين ومعاداة الكافرين، مع مراعاة القواعد الشرعية التي تنظم ذلك في الأحوال المختلفة.","ونؤمن بأن عقد الولاء والبراء هو الإسلام لا غير، وأن من كان مؤمناً بالله ورسوله وجبت موالاته أينما كان، ومن كان كافراً بالله ورسوله وجبت البراءة منه أينما كان، ومن كان فيه إيمان وفيه فجور أُعطي من الموالاة بحسب إيمانه، ومن البراءة بحسب فجوره، كما نؤمن بأن من والى غير ملة الإسلام فقد نقض بذلك توحيده، وإيمانه المجمل."
معنى الولاء والبراء ؟,"الولاء والبراء هما مفهومان دينيان أساسيان في الإسلام.

- الولاء: يعني الحب والنصرة والموالاة، ويجب أن تكون للمؤمنين فقط. وهو التقرب إلى الله بالحب في الله والنصرة له ولدينه وللمؤمنين.

- البراء: يعني البُغض والمعاداة، ويجب أن يكون للذين كفروا بالله ورسوله.

الأصل في ذلك أن الإسلام هو المعيار الوحيد للولاء والبراء:
- نوالى من آمن بالله ورسوله
- ونبرأ من من كفر بالله ورسوله  
- وأما من كان فيه إيمان وفيه فجور فنعطيه من الموالاة بحسب إيمانه ومن البراءة بحسب فجوره

وهذا بناءً على قوله تعالى: ""يا أيها الذين آمنوا لا تتخذوا أولياء من دونكم لا يألونكم خبالاً"" [النساء: 142] 

وقوله تعالى: ""يا أيها الذين آمنوا من يركم عن دينه فاعلموا أن الله هو الولي容貌"" [المائدة: 55]

والولاية للمؤمنين خاصة كما قال تعالى: ""ومن يتول الله ورسوله والذين آمنوا فإن حزب الله هم الغالبون"" [المائدة: 56]","والموالاة تطلق على معانٍ ترجع إلى الحب والنصرة، أي لا تناصرهم ولا تناشرهم مصافاة الأحباب ومعاشرتهم، وعلى النهي عن موالاتهم بأن بعضهم أولياء بعض، ومن ضرورة ذلك اجتماعهم على مضادة المؤمنين، وصار منهم بحيث يسوؤهم السوء، ويبهجهم الفتنة والضلال، فكيف يتصور بيننا وبينهم موالاة؟!"
عقيدة المسلم فى الأسماء والصفات ,,"ونؤمن بجميع ما ورد في الكتاب والسنة الصحيحة من أسماء الله وصفاته، بغير تمثيل ولا تعطيل، فإن القول في الصفات فرع عن القول في الذات، فكما ثبت ذات الله بلا كيف، ثبتت صفاته بلا كيف، وهذا هو الحق الذي عليه أئمة السلف، وأئمة الأثر، وهو وسط بين من نفى الأدلة والآيات، وبين من غلا إلى التشبيه والتمثيل، أو غلا في التأويل باب التنزيه فنفاه، بل نثبته بلا تحريف وتعطيل."
ما هو الشرك الأكبر ؟,"الشرك الأكبر هو كل عمل يُخرج العبد من ملة الإسلام، وهو أن يُشرك الإنسان بشيء من العبادة لغير الله تعالى، مما يختص به سبحانه وحده. ومن أمثلته: 1. **دعاء غير الله**: كالاستغاثة بالأنبياء أو الصالحين بعد موتهم. 2. **تقديم القرابين لغير الله**. 3. **الانقياد والطاعة المطلقة لغير الله** بما يخالف أمره. والشرك الأكبر لا يُغفر إلا بالتوبة منه، وهو يُبطل جميع الأعمال الصالحة التي قام بها العبد قبله أو معه، كما قال الله تعالى: *إِنَّ اللَّهَ لَا يَغْفِرُ أَن يُشْرَكَ بِهِ وَيَغْفِرُ مَا دُونَ ذَٰلِكَ لِمَن يَشَاءُ* [النساء: 48]. وإذا ثبت أن الإنسان مات على هذا الشرك، فإنه يدخل تحت قول الله تعالى: *إِنَّ مَن يُشْرِكْ بِاللَّهِ فَقَدْ حَرَّمَ اللَّهُ عَلَيْهِ الْجَنَّةَ وَمَأْوَاهُ النَّارُ* [المائدة: 72]. وبالتالي فإن الشرك الأكبر هو أعظم الذنوب وأخطرها على الإطلاق.","الشرك الأكبر: وهو أعظم الظلم وأكبر الذنوب.
ولا يغفره الله إلا لمن تاب، وهو محبط لجميع الأعمال،
وهذا الشرك قد يكون في باب التألّه والتنسّك، كما في دعاء غير الله والاستغاثة به وتقديم القرابين إليه،
وقد يكون في باب الطاعة والانقياد كما في إطاعة حق التشريع المطلق من دون الله، والطاعة فى هذا الإعتقاد

"
ما هو الشرك الأصغر ؟,"الشرك الأصغر هو نوع من الشرك لا يصل إلى درجة الكفر الصريح، ولكنه يُضعف الإيمان ويُعتبر معصية lớn. ومن أمثلة الشرك الأصغر: الرياء (أي العمل بالعبادات لغير الله، كمن يعمل ليُرى الناس)، ونذر الشيء لغير الله، والاستغاثة بغير الله دون علم أو تعليل شرعي، واستخدام بعض العبارات التي توحي بالشرك مثل قول البعض ""والله ما فعلت كذا وكأن فلاناً أكرهني"".

وينبغي على المسلم أن يتجنب كل ما قد يؤدي إلى هذا النوع من الشرك؛ لأن النبي صلى الله عليه وسلم حذَّر منه وقال: **""إياكم والشِرك المخفي، فإن الرجل ليَرفع له عمله فيُرجَع عليه، فيقال: لم يكن في قلبه إلا الشِرك""**.

وعليه، فالشرك الأصغر وإن كان دون الشرك الأكبر، فإنه خطير جداً ويجب الحذر منه.","الشرك الأصغر: ومنه الرياء، والحلف بغير الله في بعض صوره، ولبس الحلقة وتعليق التمائم ونحو ذلك، ويعد من كبائر الذنوب، وهو محبط لما دخل فيه من الأعمال."
الايمان بالملائكة ,"الإيمان بالملائكة في الإسلام هو جزء أساسي من الإيمان الكامل بالله سبحانه وتعالى. حيث يؤمن المسلم بأن الملائكة خلق من خلق الله، خلقهم من نور وأتاهم بقدرات ووظائف محددة تنفيذاً لأوامر الله.  

من ضمن هذه الوظائف: كتابة أعمال البشر (كالملكين kiraman katibin)، حفظ الإنسان (بالملائكة الحفظة)، نقل الوحي للأنبياء والرسل، وغيرها من المهام التي أمرهم الله بها.

ويجب الإيمان بهم كما أخبرنا الله عنهم في القرآن الكريم وبما جاء في سنة نبينا محمد صلى الله عليه وسلم دون تعطيل أو تكييف لصفاتهم أو شكلهم كما وصفهم الله ورسوله.  

قال تعالى في كتابه العزيز: **""آمَنَ الرَّسُولُ بِمَا أُنزِلَ إِلَيْهِ مِن رَّبِّهِ وَالْمُؤْمِنُونَ ۚ كُلٌّ آمَنَ بِاللَّهِ وَمَلَائِكَتِهِ وَكُتُبِهِ وَرُسُلِهِ""** (البقرة:285).  

وبذلك يكون الإيمان بالملائكة عموداً أساسياً من أعمدة الإيمان الستة التي يجب على كل مسلم اعتقادها وتصديقها.","ونؤمن بملائكة الله عز وجل، وأنهم عباد مكرمون، خلقهم الله من نور، واستعملهم في طاعته، فلا يسبقونه بالقول، ولا يخالفونه في أمر أو نهي؛ لا يعصون الله ما أمرهم ويفعلون ما يُؤمرون."
حكم تربيه الكلاب ؟,"تربيه الكلاب في الإسلام لها أحكام محددة بناءً على النصوص الشرعية: 1- الأصل في تربيه الكلاب أنها مكروهه عدا حالات الضرورة مثل: - الكلاب المستخدمه للحراسة - الكلاب المستخدمه للصيد - الكلاب المستخدمه في الزراعة 2- جاء في السنة النبوية ما يدل على كراهية تربية الكلاب عبثاً، فقد ثبت عن النبي صلى الله عليه وسلم انه قال: ""من تربى كلباً إلا كلب صيد أو ما خلا أكلة ضأنه نقص من أجره كل يوم قيراطان"" (متفق عليه). 3- الكلب considered نجس عند بعض الفقهاء لذلك يجب تنظيف أي مكان يلمسه الكلب بالماء. 4- ينبغي تجنب تربية الكلاب داخل المنازل لعدم طهارتها وخشية نقل الأمراض والأذى. 5- إذا دعت الحاجة لتربية الكلاب لأغراض مشروعة كالحراسة أو الصيد فيجب مراعاة شروط الشريعة في ذلك. وبناءً على هذا فإن تربية الكلاب دون حاجة تكون مكروهة، أما إذا كانت هناك حاجة شرعية فتصبح جائزة مع مراعاة الضوابط الشرعية.","اتخاذ الكلب، والصورة المنهي عنهما موجب لعدم دخول ملائكة الرحمة إلى البيت."
