question,answer,Qwen-plus,qwen3-8b,deepseek-r1
"كم مرة تكررت الآية ""قَاتَقُواً آللَّدَ وَأَطِييعُون"" في سورة الشعراء؟
",ثمان مرات,"الآية ""قَاتَقُواً آللَّدَ وَأَطِييعُون"" تكررت في سورة الشعراء ثمان مرات.","الإجابة: تكررت الآية ""قَاتَقُواً آللَّدَ وَأَطِييعُون"" ثمان مرات في سورة الشعراء.","**الإجابة:**  
تكررت الآية **""فَاتَّقُوا اللَّهَ وَأَطِيعُونِ""** في سورة الشعراء **ثماني مرات**، وذلك في سياق قصص الأنبياء: نوح، وهود، وصالح، ولوط، وشعيب عليهم السلام.  

---

**التوضيح:**  
- النص الوارد في السياق به أخطاء إملائية (مثل: ""قَاتَقُواً آللَّدَ وَأَطِييعُون4"")، والصواب هو: **""فَاتَّقُوا اللَّهَ وَأَطِيعُونِ""** (سورة الشعراء: 108، 110، 126، 131، 144، 150، 163، 179).  
- ذُكر في النص أن الآية تكررت **ثمان مرات**، وهو ما يتفق مع القرآن الكريم، حيث ترددت هذه الآية في مواضع متعددة من السورة كدعوة كل نبي لقومه.  
- الأرقام والأحرف غير العربية (مثل: 4، 3 80 عمران:+) في النص يجب تجاهلها؛ لأنها أخطاء كتابية لا صلة لها بالقرآن.  

--- 

**دليل من القرآن:**  
قال تعالى:  
- ﴿فَاتَّقُوا اللَّهَ وَأَطِيعُونِ﴾ (سورة الشعراء: 108، 110، 126، 131، 144، 150، 163، 179)."
"ما هو نوع العرض الذي يشمل المؤمنين ويتضمن تقريرهم وسترهم ومغفرة ذنوبهم؟
",العرض الخاص,"العرض المقصود هنا هو **عِرض الله تعالى على عباده المؤمنين يوم القيامة**، وهو عرض يشمل تقرير أحوالهم وبيان ما قدموا من أعمال، مع ستر عيوبهم ومغفرة ذنوبهم.

وفي السياق المطروح، يمكن استيعاب الفكرة من أن الله تعالى حكيم عليم، ولو كانت بعض الأعمال مكروهة لما مكن العباد منها أو ترك لهم حرية الاختيار مع التحذير والإنكار بالعقوبة. لكنه في الوقت ذاته يتفضل على عباده المؤمنين بعفو عن سيئاتهم وستره لها، وهذا من فضله وإحسانه.

والنوع من العرض الذي يشمل المؤمنين هو **عرض الغفران والمغفرة** حيث يمحو الله به السيئات ويبارك في الحسنات، كما قال الله تعالى: *وَأَسْـرُوا قَوْلًا حَسَنًا أَحْسِنَا إِلَيْكُمْ أَمْ أَنتُمُ الَّذِينَ أَحْسَنُوا* [يونس: 58].","الإجابة:  
هذا العرض هو عرض التكفير والغفران، وهو نوع من أنواع العفو الإلهي الذي يشمل المؤمنين ويُقرّر تقريرهم ويسترهم ويغفر ذنوبهم. ويعبر عن رحمة الله تعالى وعفوه، حيث يقول الله تعالى: **""ولَمْ يَكُنِ الَّذِي تَسْتَعِينُونَ مِنْ دُونِهِ يُشْرِكُونَ بِهِ شَيْئًا وَلَا حَرَّمَنَا وَلَا نَحْنُ الْمُحَرَّمُونَ""**، أي أن الله لا يشريكونه في الملك ولا يحرمونه من شيء، وهو الذي يعفو ويغفر ويستر.

ومن مضمار هذا العرض أيضًا ما يدل على أن الله تعالى لا يكره الخبيث بل ي赦ه ويغفره لمن آمن به وعمل صالحاً، كما في قول الله تعالى: **""وَإِنْ كَانَتْ تَأْبَىٰ فَقُلْ إِنَّ الْحَقَّ قَدْ جَاءَ وَالْحَقُّ أَنْ لَا تُشْرِكُوا بِاللَّهِ شَيْئًا""**، مما يدل على أن العفو الإلهي يشمل المؤمنين ويُغفر لهم ذنوبهم.","**الإجابة:**  
نوع العرض الذي يشمل المؤمنين ويتضمن تقرير أعمالهم وستر ذنوبهم ومغفرتها هو **عرض الستر والمغفرة يوم القيامة**.  
ففي هذا العرض يُحاسب المؤمنون، ولكن الله تعالى يستر عليهم عيوبهم ولا يُفضحهم، ويغفر ذنوبهم برحمته، كما جاء في الحديث: «يُعْرَضُ الْعَبْدُ عَلَى رَبِّهِ فَيَقُولُ: يَا عَبْدِي، أَذْكُرْتَ يَوْمَ كَذَا وَكَذَا؟ فَيَقُولُ: نَعَمْ، أَيْ رَبِّ. فَيَقُولُ: إِنِّي سَتَرْتُهَا عَلَيْكَ فِي الدُّنْيَا، وَأَنَا أَغْفِرُهَا لَكَ الْيَوْمَ» (رواه البخاري). وهذا من رحمة الله بالمؤمنين الذين يتقون الله ويستحقون الستر والمغفرة."
"ما هو السورة والآية التي ورد فيها قوله تعالى: «مَا كَانَ لِبَشْرٍ أَن يُؤْتِيَهُ اللَّهُ الْكِتَابَ وَالْحِكْمَةَ وَالنُّبُوَّةَ ثُمَّ يَقُولَ لِلنَّاسِ كُونُواْ عِبَادًا لِّي مِن دُونِ اللَّهِ»؟
",سورة آل عمران، الآية 79,"الآية التي أشرتم إليها ليست موجودة في السياق المقدم بشكل صحيح، لكنها موجودة في القرآن الكريم. الآية هي من **سورة آل عمران**.

الآية كاملة تقول:

**""مَا كَانَ لِبَشْرٍ أَن يُؤْتِيَهُ اللَّهُ الْكِتَابَ وَالْحِكْمَةَ وَالنُّبُوَّةَ ثُمَّ يَقُولَ لِلنَّاسِ كُونُوا عِبَادًا لِّي مِن دُونِ اللَّهِ ۖ وَلَٰكِن كُونُوا رَبَّانِيِّينَ بِمَا كُنتُم تُعَلِّمُونَ الْكِتَابَ وَبِمَا كُنتُم تَدْرُسُونَ""**  
[آل عمران: 79].

إذن الإجابة هي: **سورة آل عمران، الآية 79**.","الإجابة:  
السورة: **ال عمران**، الآية: **138**.","**الإجابة:**  
الآية المذكورة وردت في **سورة آل عمران، الآية 79**، وهي قوله تعالى:  
﴿مَا كَانَ لِبَشَرٍ أَن يُؤْتِيَهُ اللَّهُ الْكِتَابَ وَالْحُكْمَ وَالنُّبُوَّةَ ثُمَّ يَقُولَ لِلنَّاسِ كُونُوا عِبَادًا لِي مِن دُونِ اللَّهِ وَلَٰكِن كُونُوا رَبَّانِيِّينَ بِمَا كُنتُمْ تُعَلِّمُونَ الْكِتَابَ وَبِمَا كُنتُمْ تَدْرُسُونَ﴾.  

**التفصيل:**  
- **موضوع الآية:** تُنكر الآية على أي بشر (كالنبي أو العالم) أن يدعو الناس إلى عبادته بعد أن منَّ الله عليه بالوحي والحكمة والنبوة، مؤكدةً أن دور الأنبياء هو دعوة الناس إلى عبادة الله وحده.  
- **سياقها في السورة:** ترد في سياق الرد على افتراءات بعض اليهود والنصارى حول عيسى عليه السلام، حيث بيَّن القرآن أن عيسى لم يَدْعُ إلى عبادته، بل كان رسولاً يدعو إلى التوحيد.  
- **دلالة ""الربانيين"":** تُوجِّه الآية إلى أن يكون المؤمنون عُلماء عاملين بكتاب الله، لا مُتسلطين على الناس بدعوى الألوهية.  

والله أعلم."
"ما هو الوقت الذي يبدأ فيه الصيام حسب الآية؟
",حتى يتضح لكم الفرق بين الخيط الأبيض والخيط الأسود من الفجر,"الصيام يبدأ بناءً على الآية الكريمة عندما يدخل الشهر، وذلك بمعنى رؤية هلال شهر رمضان. فعندما يُرى الهلال في بلد من البلاد، يصبح الصوم واجباً على المسلمين ابتداءً من صباح اليوم التالي لرؤية الهلال، أي أول يوم من أيام شهر رمضان.

الآية تقول: **""شهر رمضان الذي أنزل فيه القرآن هدى للناس وبينات من الهدى والفرقان فمن شهد منكم الشهر فليصمه""** (سورة البقرة).

وبالتالي، فإن وقت بدء الصيام هو مع غروب شمس يوم الرؤية (يوم الشك) إذا تحققت رؤية الهلال، ويبدأ الصيام فعلياً من فجر اليوم التالي.","السلام عليكم ورحمة الله وبركاته، وأنا فقيه مسلم في غاية الذكاء.

الصيام هو من الفرائض التي تُوجَب على كل مسلم بالغ عاقل، وهو من أركان الإسلام الخمسة. أما عن **وقت بدء الصيام**، فإن ذلك يحدد ببداية **الشمس تغرب**، أي عند **الغروب**، وذلك بنصوص القرآن الكريم والسنة النبوية.

### 1. **الآية القرآنية التي تشير إلى وقت بدء الصيام:**
الآية التي تتحدث عن الصيام بشكل مباشر هي:

> **""يَا أَيُّهَا الَّذِينَ أُمِنُوا كُتِبَ عَلَيْكُمْ الصِّيَامُ كَمَا كُتِبَ عَلَى الَّذِينَ مِنْ قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ""**  
> **(ال Báo 2: 183)**

هذه الآية تذكر أن الصيام قد دُعوت إليه، لكنها لا تحدد بدء الصيام مباشرة. لكن هناك آية أخرى توضح ذلك:

> **""إِذَا جاءَ صَوَامُ الرَّجَابِ فَصُومُوا إِذَا جَاءَتْ شَدِيدَةُ الْحَرِّ""**  
> **(السورة 2: 185)**

لكن هذه الآية تُفسَّر بأنها تتحدث عن صيام شهر رمضان، وليس عن وقت بدء الصيام.

### 2. **النص الذي يحدد وقت بدء الصيام:**

النص الذي يُعتبر الأهم في تحديد وقت بدء الصيام هو:

> **""أَنْتُمْ أَحَقُّ بِالصَّوْمِ مِنَ الْأَنْفَالِ""**  
> **(الحديث النبوي)**

ولكن هذا الحديث ليس دقيقًا في تحديد الوقت.

### 3. **الحديث النبوي الذي يحدد بدء الصيام:**

الحديث الذي يُعرف بأنه يحدد بدء الصيام هو:

> **""أَنَّ رَسُولَ اللَّهِ ﷺ قَالَ: 'صُومُوا لِيَرُوحَ الْغَرُوبُ' ""**  
> **(رواه ابن ماجه وابن حبان وغيرهم)**

هذا الحديث يُفهم أنه يُشير إلى أن الصيام يبدأ عند **الغروب**، أي عندما تغرب الشمس.

### 4. **الاستنتاج:**

- **الصيام يبدأ عند غروب الشمس**، وهذا هو ما يُفهم من الحديث النبوي.
- **الغروب** هو الوقت الذي يبدأ فيه الصيام، ويستمر حتى **الصبح**، أي وقت طلوع الشمس.

### 5. **ملاحظة مهمة:**

- يجب على المسلم أن يحدد وقت الغروب بدقة، ويمكن أن يستخدم عدة طرق مثل:
  - المراقبة بالعين.
  - استخدام التقويمات الفلكية.
  - الاستعانة بمن يعلم علم الفلك.

---

إذا كنت ترغب في معرفة وقت الصيام اليوم أو في مدينة معينة، يمكنك ذكر اسم المدينة، فأنا سأقوم بحساب الوقت بدقة بناءً على ذلك.","الإجابة:  
يبدأ وقت الصيام اليومي مع طلوع الفجر الصادق، كما جاء في الآية الكريمة من سورة البقرة:  
**﴿وَكُلُوا وَاشْرَبُوا حَتَّىٰ يَتَبَيَّنَ لَكُمُ الْخَيْطُ الْأَبْيَضُ مِنَ الْخَيْطِ الْأَسْوَدِ مِنَ الْفَجْرِ﴾** (البقرة: ١٨٧).  

أما بداية شهر رمضان (دخول الشهر) فتحدد برؤية الهلال بعد غروب شمس اليوم التاسع والعشرين من شعبان، فإن تعذَّرت الرؤية يُكمَّل شعبان ثلاثين يومًا. وهذا مستفاد من الحديث النبوي:  
**«صُومُوا لِرُؤْيَتِهِ وَأَفْطِرُوا لِرُؤْيَتِهِ»** (صحيح البخاري).  

والنص المذكور في السياق يشير إلى أهمية الرؤية البصرية للهلال في إثبات دخول الشهر، لكن الآية القرآنية التي تحدد وقت الصيام اليومي (من الفجر إلى المغرب) لم تُذكر بشكل صحيح في النص المقدم بسبب الأخطاء الكتابية."
"كم عدد الأيام التي لا يجوز للمرأة المؤمنة أن تسافر بدون محرم؟
",ثلاثة أيام,"في الفقه الإسلامي، لا يجوز للمرأة المؤمنة أن تسافر بدون محرم إذا كانت رحلة السفر تتجاوز **المسافة المحددة للكفارة**، والتي عرفت في الشريعة الإسلامية بـ""السفر المسافر""، وهو ما يعادل **81 كيلومترًا (حوالي 50 ميلًا)** أو أكثر.

أما بالنسبة لعدد الأيام، فلا يوجد عدد أيام محدد في النصوص الشرعية يمنع المرأة من السفر بدون محرم بناءً على عدد الأيام فقط. لكن القاعدة هي: 

- إذا كان السفر قصيرًا جدًا ولا يتجاوز المسافة المذكورة (أقل من 81 كم)، فلا حرج عليها السفر بدون محرم.
- أما إذا تجاوز السفر هذه المسافة، فعليها أن تكون مع محرم، بغض النظر عن عدد الأيام.

### ملاحظات:
- ""المحرم"" هو الرجل الذي لا يمكن للمرأة أن تتزوجه أبدًا بسبب القرابة، مثل الأخ أو الأب أو الابن.
- الحكم يختلف إذا كانت المرأة في حالة ضرورة شرعية (مثل الحاجة إلى العلاج أو غيره)، فقد يُنظر فيها إلى المصلحة والمفسدة.

إذا كنتِ تحتاجين إلى توضيح إضافي حول حالات استثنائية، فلا تترددي في السؤال!","الإجابة:  
لا يجوز للمرأة المؤمنة أن تسافر بدون محرم إذا كانت المسافة تزيد عن يوم وليلة، أي ما يعادل ثلاثة أيام تقريبًا. وقد ذكرت الأحاديث النبوية أن المرأة لا تُحل لها السفر بمسيرة يوم وليلة إلا مع محرم، وبعضها يتحدث عن ثلاث ليال. وبالتالي، فإن الحد الأدنى الذي يُعتبر منع السفر بدون محرم هو **يوم وليلة**، أي **ثلاثة أيام**.","في الفقه الإسلامي، يُمنع على المرأة المؤمنة السفر بدون محرم إذا كان السفر يُعتبر ""سفرًا شرعيًا"" (عادة ما يُقدّر بمسافة تُقصر فيها الصلاة، والتي تختلف بين المذاهب). ورد في الحديث النبوي الشريف: «لا تُسافر امرأةٌ ثلاثًا إلا ومعها ذو محرم» (متفق عليه)، لكن هناك روايات أخرى تذكر ""يوم وليلة"". 

### التفصيل:
1. **مدّة السفر الممنوعة بدون محرم**:  
   - ذهب جمهور العلماء (الحنابلة والشافعية وغيرهم) إلى أن المرأة لا تسافر سفرًا يُقدَّر بيوم وليلة (24 ساعة تقريبًا) بدون محرم، استنادًا لحديث: «لا يحل لامرأة تؤمن بالله واليوم الآخر تسافر مسيرة يوم وليلة إلا مع ذي محرم» (رواه البخاري ومسلم).  
   - بينما ذكرت رواية أخرى «ثلاثة أيام» (كما في رواية لأحمد والترمذي)، لكن الأكثر شيوعًا هو اعتبار اليوم والليلة.  

2. **الخلاف بين المذاهب**:  
   - **الحنفية**: يجيزون سفر المرأة مع رفقة مأمونة (كجماعة النساء الثقات أو الرجال الثقات غير المحارم) إذا كان السفر آمنًا.  
   - **المالكية**: يشددون في المنع مطلقًا إلا مع محرم، ولو لمسافة قصيرة.  
   - **الشافعية والحنابلة**: يمنعونها من السفر بدون محرم إذا تجاوزت مسافة القصر (حوالي 80-90 كم).  

3. **الضابط الشرعي**:  
   - الأصل أن المنع متعلق ب**مسافة السفر** (لا مدة الإقامة)، فإذا تجاوزت المسافة المُحدَّدة شرعًا (كيوم وليلة)، حُرِّم السفر بدون محرم، سواء كانت الإقامة قصيرة أو طويلة.  

### الخلاصة:  
لا يجوز للمرأة أن تسافر سفرًا تبلغ مدته **يومًا وليلة** (أو ما يعادله في المسافة، نحو 80 كم) بدون محرم عند جمهور الفقهاء، إلا في حالات الضرورة أو الأمن التام مع وجود رفقة مأمونة (عند بعض المذاهب)."
"ما هو عمر الناقة عندما تسمى بنت اللبون؟
",دخلت في السنة الثالثة فصارت أمها لبوناً بوضع الحمل.,"عندما تسمى الناقة **""بنت اللبون""**، يكون عمرها حوالي **ثلاث سنوات**. وهي بذلك تكون قد دخلت في السنة الثالثة، مما يجعل أمها ناقة لبوناً بوضع الحمل.","الإجابة:  
عمر الناقة عندما تسمى **بنت اللبون** هو **ثلاث سنوات**.  

وذلك لأنّها دخلت في السنة الثالثة فصارت أمها لبوناً بوضع الحمل، حسب ما ورد في السياق المذكور.","الإجابة:  
عمر الناقة عندما تُسمى ""بنت اللبون"" هو **سنتين كاملتين ودخلت في السنة الثالثة**، حيث إن بنت اللبون هي التي دخلت في السنة الثالثة من عمرها، وصارت أمها ذات لبن بسبب الحمل. وهذا وفق التعريف الوارد في النص:  
**""بنت اللبون: هي التي دخلت في السنة الثالثة فصارت أمها لبوناً بوضع الحمل""**."
"ما هي المواقيت التي حددها النبي لأهل المدينة للإحرام؟
",ذا الحليفة,"المقاييس التي حددها النبي صلى الله عليه وسلم لأهل المدينة للإحرام هي **ذات الحليفة**.  

وهذا واضح من حديث ابن عباس رضي الله عنهما حيث قال: ""إن النبي صلى الله عليه وسلم وقت لأهل المدينة ذا الحليفة، ولأهل الشام الجحفة، ولأهل نجد قرن المنازل، ولأهل اليمن يلملم"".  

فمن أراد الإحرام من أهل المدينة أو مَن مر بـ **ذات الحليفة** فعليه أن يجعلها محل إحرامه إذا كان يريد الحج أو العمرة.","الإجابة:  
المواقيت التي حددها النبي ﷺ لأهل المدينة للإحرام هي **ذا الحليفة**.","الإجابة:  
المواقيت التي حددها النبي صلى الله عليه وسلم لأهل المدينة للإحرام هي **ذو الحليفة**، وهو الموقع المعروف اليوم بـ ""أبيار علي"". وقد ورد ذلك في الحديث الصحيح المتفق عليه عن ابن عباس رضي الله عنهما، حيث قال النبي صلى الله عليه وسلم:  
«وَقَّتَ لِأَهْلِ الْمَدِينَةِ ذَا الْحُلَيْفَةِ...».  

وهذا الميقات ثابت بأصحّ الأحاديث، ويُعتبر المكان الذي يُحرم منه القادمون من المدينة المنورة وأهلها للحج أو العمرة."
"ما هو المطلوب من المؤمنين تجاه ما جاء به رسول الله من أمر أو نهي؟
",قبول ما جاء به رسول الله من أمر أو نهي.,"المطلوب من المؤمنين تجاه ما جاء به رسول الله صلى الله عليه وسلم من أمر أو نهي هو الالتزام بفريضة الأمر بالمعروف والنهي عن المنكر وفقًا لطاقتهم وقدرتهم. فعن النبي صلى الله عليه وسلم أنه قال: ""من رأى منكم منكرًا فليغيره بيده؛ فإن لم يستطع فبلسانه؛ فإن لم يستطع فبقلبه، وذلك أضعف الإيمان"" (رواه مسلم).

وهذا يوضح أن التكليف بهذه الفريضة يكون بحسب الوسع والطاقة، حيث يمكن للمؤمن أن:

1. **يغير المنكر بيده** إذا كان able واستطاع ذلك.
2. **يبتغييره بلسانه** إذا لم يستطع بتغييره بيده، وذلك بالنصح أو اللوم أو غيرهما.
3. **يبتغييره بقلبه** إذا لم يستطع لا باليد ولا باللسان، وهو أضعف الإيمان.

كما أن احتساب المؤمن على الظلمة ومناوأتهم على معصية الله يعتبر دليلًا قويًا على الإيمان، وأدنى ذلك المجاهدة بالقلب. وقال النبي صلى الله عليه وسلم: ""ما من نبي بعثه الله في أمة قبلي إلا وكان له من أمته حواريون وأصحاب يأخذون بسنته ويقتدون بأمره؛ ثم إنها تخلف بعدهم خلوف يقولون ما لا يفعلون ويفعلون ما لا يؤمرون؛ فمن جاهدهم بيده فهو مؤمن، ومن جاهدهم بلسانه فهو مؤمن، ومن جاهدهم بقلبه فهو مؤمن. وليس وراء ذلك من الإيمان حبة خردل"" (رواه مسلم).

إذن، المطلوب هو السعي لتغيير المنكرات بما يتناسب مع طاقة كل شخص، مع الحرص على الصبر والتوازن في التعامل مع هذه الأمور كما عظ الله عباده بذلك في قوله تعالى في موعظة لقمان لابنه.",المطلوب من المؤمنين تجاه ما جاء به رسول الله من أمر أو نهي هو التكليف بحسب الوسع والطاقة، وهو أن يغيروه بيده إن استطاعوا، وإن لم يستطعوا فبلسانهم، وإن لم يستطعوا فبقلبه، وذلك أضعف الإيمان. ويجب على المؤمن أن يحثّ على الحق ويعمل به، وأن يُجاهد الظلمة بالعمل والكلام والنية، فإن ذلك دليل على الإيمان، وليس وراء ذلك من الإيمان حبة خردل.,"**الإجابة:**  
المطلوب من المؤمنين تجاه أوامر الله ورسوله ﷺ ونواهيهما هو:  
1. **الامتثال والتطبيق** للأمر والنهي بحسب الاستطاعة، مع مراعاة مراتب التغيير:  
   - البدء بتغيير المنكر **باليد** (بالفعل) لمن يقدر عليه.  
   - إن عجز، ينتقل إلى الإنكار **باللسان** (بالقول أو النصيحة).  
   - إن عجز، يلتزم الإنكار **بالقلب** (كراهية المنكر)، وهو أدنى مراتب الإيمان.  

2. **مجاهدة الظلمة والمنحرفين** عن شرع الله بدرجاتها:  
   - باليد (عملًا) لمن استطاع.  
   - باللسان (نصحًا أو دعوة).  
   - بالقلب (اعتقادًا وبُغضًا للباطل).  
   ومن لم يفعل ذلك فإيمانه ناقص، وليس بعده من الإيمان شيء.  

3. **الصبر** على مشقة الأمر بالمعروف والنهي عن المنكر، كما أوصى لقمان ابنه، مع اليقين بأن التكليف مرتبط بالوسع والطاقة.  

ويُستدل على ذلك من حديث النبي ﷺ:  
- *""مَنْ رَأَى مِنْكُمْ مُنْكَرًا فَلْيُغَيِّرْهُ...""* (رواه مسلم).  
- *""مَنْ جَاهَدَهُمْ بِيَدِهِ فَهُوَ مُؤْمِنٌ...""* (رواه مسلم).  

فالواجب على المؤمن الجمع بين العمل بشرع الله والدعوة إليه، والإنكار على المخالفين بحسب القدرة، مع الصبر على الأذى."
"ما الذي أشار إليه الرسول عندما تكلم عن العذاب والرحمة؟
",اللسان,"الذي أشار إليه الرسول صلى الله عليه وسلم عندما تكلم عن العذاب والرحمة هو **اللسان**. فقد قال: ""إن الله لا يعذب بدمع العين ولا بحزن القلب؛ ولكن يعذب بهذا - وأشار إلى لسانه - أو يرحم"".  

وهذا يدل على أهمية اللسان في حياة المسلم، وأنه أداة يمكن أن تكون سبباً في رحمة الله إذا استُخدم في الخير، أو أن يكون سبباً في العذاب إذا استُخدم في الشر أو المحرمات.","الإجابة:  
أشار الرسول ﷺ إلى لسانه، وذلك عندما تكلم عن العذاب والرحمة، ليُبين أن العذاب لا يكون بالدمع من العين أو الحزن من القلب، بل يكون باللسان، أي بالكلام العنيف أو الأقوال التي تصدر من اللسان، وفي المقابل يرحم الله من يلتزم بالقول الصدق والطاعات.","الإجابة:  
أشار الرسول صلى الله عليه وسلم إلى **لسانه** عندما تكلم عن العذاب والرحمة، قائلًا: «إن الله لا يعذب بدمع العين ولا بحزن القلب؛ ولكن يعذب بهذا - وأشار إلى لسانه - أو يرحم». وهذا يُبيّن أن العذاب أو الرحمة مرتبطان بالكلام الذي يصدر عن اللسان، كالكلمات التي قد تُؤذي الآخرين أو تُخالف شرع الله، أو على العكس تكون طاعةً وخيرًا.  

**التفصيل:**  
- **السياق الأول:** نَهَى النبي عن الاعتقاد بأن البكاء أو الحزن يُعذّب عليهما الإنسان، وأوضح أن مصدر العذاب أو الرحمة هو ما ينطق به اللسان.  
- **السياق الثاني:** في قصة وفاة ابن ابنته، علَّم النبي التسليم بقضاء الله، وهو ما يعزز أهمية ضبط اللسان حتى في المواقف الصعبة، كالتعزية بالكلمات الصادقة التي ترضي الله.  

*المرجع الأساسي:* حديث رواه الإمام مسلم في صحيحه."
"ما هو اليوم الذي يُحشر فيه المتقون حسب القرآن الكريم؟
",يوم حشر المتقين إلى الجنة,الإجابة: اليوم الذي يُحشر فيه المتقون هو **يوم القيامة**. وقد أشار القرآن الكريم إلى أن الجنة معدة للمتقين، كما في قوله تعالى: «وَسَارِعُوا إِلَى مَغْفِرَةٍ مِن رَبِّكُمْ وَجَنَّةٍ عَرْضُهَا السَّمَاوَاتُ وَالأَرْضُ أُعِدَّتْ لِلْمُتَّقِينَ» [آل عمران: 133]. وهذا اليوم هو الذي تتم فيه محاسبة الخلق وأخذهم إلى جزائهم الأبدى سواءً كانوا من أهل الجنة أو النار.,"الإجابة:  
يُحشر المتقون يوم القيامة حسب القرآن الكريم، وهو اليوم الذي يُحاسب فيه الناس ويُفصل بينهم في الجنة والنار. وذكر الله تعالى في كتابه الكريم أن الأرض أعدها للمتقين، وهذا يدل على أن يوم القيامة هو اليوم الذي يُحشر فيه المتقون ليتلقوا جزاء أعمالهم.",الإجابة: اليوم الذي يُحشر فيه المتقون حسب القرآن الكريم هو **يوم القيامة**، وهو اليوم الذي يُجمع فيه الناس للحساب والجزاء. وقد أشار القرآن إلى هذا اليوم بأسماء متعددة منها يوم الحشر ويوم الدين. يقول الله تعالى: **«وَسَارِعُوا إِلَى مَغْفِرَةٍ مِنْ رَبِّكُمْ وَجَنَّةٍ عَرْضُهَا السَّمَاوَاتُ وَالْأَرْضُ أُعِدَّتْ لِلْمُتَّقِينَ»** (آل عمران: ١٣٣)، مما يدل على أن الجنة أُعدت لهم، وسيكون حشرهم إليها في ذلك اليوم. كما يُذكر في آيات أخرى مثل: **«وَسِيقَ الَّذِينَ اتَّقَوْا رَبَّهُمْ إِلَى الْجَنَّةِ زُمَرًا»** (الزمر: ٧٣)، مما يؤكد أن حشر المتقين إلى الجنة يكون في يوم القيامة.
